job_id,company,job_title,location,job_url,description,responsibilities,qualifications
J001,Aurora Interactive,Product Operations Intern,"San Francisco, CA",https://example.com/jobs/J001,"Support the product operations team for a large-scale live digital product. Help turn user feedback and operational signals into product requirements, SOPs, and workflow improvements.","Coordinate cross-functional execution across product, engineering, and support; document SOPs and operating standards; analyze user feedback and operational signals; track launch readiness tasks.","Pursuing a degree in business, analytics, or related field; familiarity with SQL and EDA; strong written communication; interest in product operations and program management."
J002,NimbusPlay,Platform Operations Manager,"Remote, US",https://example.com/jobs/J002,"Own platform operations for a multi-platform live service. Build risk controls, permission models, approval checkpoints, and monitoring and alerting workflows.","Design platform workflows and risk controls; define permission and approval models; build monitoring and alerting; convert incidents into platform requirements; manage operations cadence.","5+ years in platform operations or operations management; experience with incident response and risk management; familiarity with SDK and platform requirements; SQL a plus."
J003,Helix Support Cloud,"Customer Support Workflow Strategist","San Jose, CA",https://example.com/jobs/J003,"Design customer support workflows and escalation paths for a high-volume product. Improve support escalation, incident response, and RCA processes.","Map support escalation and incident response workflows; build RCA and operating playbooks; turn support feedback into product requirements; standardize SOPs and customer response logic.","Experience in customer support operations, CX operations, or workflow strategy; strong process design skills; familiarity with SOP development and RCA; SQL/EDA a plus."
J004,SafeHarbor Labs,Trust & Safety Operations Analyst,"Austin, TX",https://example.com/jobs/J004,"Support trust and safety operations for a global platform. Handle incident response, policy-risk cases, and anti-abuse monitoring and alerting workflows.","Investigate policy-risk and abuse cases; run incident response; build monitoring and alerting rules; document RCA and escalation workflows; support compliance reviews.","Background in trust and safety, incident response, or operations; analytical mindset; comfort with SQL and data review; experience with monitoring, alerting, and anti-abuse workflows."
J005,Vanguard Studios,Technical Producer,"Los Angeles, CA",https://example.com/jobs/J005,"Drive technical production and release execution for a live service product on a regular release cadence. Coordinate launch readiness and cross-functional delivery.","Manage release cadence and launch calendars; coordinate release execution and hotfixes; align issue severity and fix priority; drive cross-functional delivery across teams.","Experience as a technical producer or release manager; familiarity with release cadence and launch readiness; strong cross-functional coordination; live operations background preferred."
J006,Orbit Live,Release Manager,"Seattle, WA",https://example.com/jobs/J006,"Own release management for a live digital product. Define release cadence, launch calendars, escalation paths, and release execution standards.","Plan and execute releases; define launch calendars and escalation paths; align issue severity and fix priority; coordinate launch readiness across engineering and operations.","Proven release management experience; knowledge of release cadence and live operations; strong stakeholder coordination; experience with incident response a plus."
J007,Brightline Tech,Business Operations Intern,"San Francisco, CA",https://example.com/jobs/J007,"Support business operations and program management initiatives. Help with stakeholder review, deliverable tracking, PMO cadence, and data-driven insights.","Maintain PMO cadence and deliverable tracking; prepare data-driven insights and visual summaries; coordinate cross-functional stakeholders; support business operations processes.","Pursuing a degree in business or analytics; SQL and EDA experience; strong organization and communication; interest in business operations and program management."
J008,CreatorSphere,Creator Operations Program Manager,"Remote, US",https://example.com/jobs/J008,"Manage creator-facing programs and content operations. Coordinate creator and UGC initiatives, partnerships, milestones, and cross-functional execution.","Run creator and content operations programs; coordinate partnerships and UGC initiatives; define milestones and track execution; turn creator feedback into product requirements.","Experience in creator operations, content operations, or program management; strong cross-functional execution; familiarity with workflow design and SOPs; campaign coordination experience."
J009,Pinnacle Analytics,Marketing Analytics Intern,"Remote, US",https://example.com/jobs/J009,"Support marketing analytics and publishing analytics workstreams. Use SQL, EDA, and visualization to analyze seasonality, regional trends, and competitor signals.","Build SQL/Python-assisted data cleaning workflows; run EDA and seasonality analysis; collect competitor and market data; produce visual summaries for stakeholder decisions.","Coursework in analytics, statistics, or marketing analytics; SQL and EDA skills; data visualization experience; comfort with messy data cleaning and metric definitions."
J010,Meridian Games,Live Operations Producer,"San Francisco, CA",https://example.com/jobs/J010,"Run live operations for a multi-platform game. Manage live events, engagement, retention, and release cadence while coordinating incident response.","Plan live events and engagement campaigns; manage release cadence and launch readiness; coordinate incident response; analyze retention and live operations data.","Experience in live operations or game operations; familiarity with release cadence, launch readiness, and incident response; data-informed decision making; cross-functional coordination."
